dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,3,25,False,SwappedCondition,25,0.22981209898697863,True,9.768528308005266e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,SwappedCondition,50,0.3221345577439666,True,7.735373281732446e-15,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,SwappedCondition,75,0.09899719040698916,True,3.545931133159506e-05,True,6.869714707136154e-05,True
argouml-spl,f1,3,25,False,SwappedCondition,100,0.6195696015273155,True,0.9999777579572967,False,0.9999908776953816,False
argouml-spl,f1,3,25,False,ErroneousConjunction,25,0.04393913921301167,False,1.028756191346718e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,ErroneousConjunction,50,0.038914179161605764,False,1.494138424389813e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,ErroneousConjunction,75,0.059937481294126294,True,6.172864827335692e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,ErroneousConjunction,100,0.06164853237008443,True,1.6277385997961994e-09,True,8.195638656616211e-08,True
argouml-spl,f1,3,25,False,SwappedFeature,25,0.05024573204326481,True,1.1199941573797453e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,SwappedFeature,50,0.06208610457180294,True,4.438277514804604e-15,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,False,SwappedFeature,75,0.0698654582610334,True,0.00011786880978023706,True,0.00023005343973636627,True
argouml-spl,f1,3,25,False,SwappedFeature,100,0.04980487819809767,False,0.9999941011914874,False,0.9999970132485032,False
argouml-spl,f1,3,25,True,SwappedCondition,25,0.22903794851040926,True,9.661243751449243e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,SwappedCondition,50,0.3228191089369191,True,7.694544194239732e-15,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,SwappedCondition,75,0.09924749198102156,True,3.625640628611547e-05,True,6.869714707136154e-05,True
argouml-spl,f1,3,25,True,SwappedCondition,100,0.6264937236873693,True,0.9999784494056504,False,0.9999908776953816,False
argouml-spl,f1,3,25,True,ErroneousConjunction,25,0.043963448704918764,False,1.0166845254782532e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,ErroneousConjunction,50,0.038959831601384075,False,1.488508987203617e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,ErroneousConjunction,75,0.059186838400261836,True,6.226620544015393e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,ErroneousConjunction,100,0.06144743487798729,True,1.6592403569112361e-09,True,8.195638656616211e-08,True
argouml-spl,f1,3,25,True,SwappedFeature,25,0.04998284685388001,False,1.1167111720510791e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,SwappedFeature,50,0.06216626173988806,True,4.414357458515675e-15,True,9.313225746154785e-10,True
argouml-spl,f1,3,25,True,SwappedFeature,75,0.06961734029872664,True,0.00011943441754115535,True,0.00023005343973636627,True
argouml-spl,f1,3,25,True,SwappedFeature,100,0.05031485380956522,True,0.9999942121507012,False,0.9999970132485032,False
argouml-spl,f1,5,5,False,SwappedCondition,25,0.08510640858202936,True,5.9946676395790476e-12,True,9.313225746154785e-10,True
argouml-spl,f1,5,5,False,SwappedCondition,50,0.04608526320708892,False,1.3747340199482958e-07,True,2.859160304069519e-07,True
argouml-spl,f1,5,5,False,SwappedCondition,75,0.25425545238013547,True,0.008601702963061737,True,0.01549240481108427,True
