dataset,metric,number_of_variants,ft_percentage,boost,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
apache-httpd,f1,5,5,True,0.0028841066246855476,False,3.5579381837483303e-06,True,4.0372501439017805e-06,True
apache-httpd,f1,5,10,False,0.3453221332059303,True,1.2038911757793416e-14,True,9.313225746154785e-10,True
apache-httpd,f1,5,10,True,7.099329145828325e-05,False,3.2937734274866628e-06,True,9.313225746154785e-10,True
apache-httpd,f1,5,15,False,0.9126594606856763,True,1.1230294287099638e-13,True,1.2815416253625037e-06,True
apache-httpd,f1,5,15,True,0.0010489712697672128,False,8.006901569248543e-07,True,1.2815416253625037e-06,True
apache-httpd,f1,5,20,False,0.3525948167827622,True,2.206249342023968e-15,True,9.313225746154785e-10,True
apache-httpd,f1,5,20,True,8.919833414497512e-06,False,2.283225624113369e-06,True,9.313225746154785e-10,True
apache-httpd,f1,5,25,False,0.14675991867301597,True,5.294641745653186e-15,True,9.313225746154785e-10,True
apache-httpd,f1,5,25,True,0.0010316201157631166,False,2.2024586564390365e-08,True,9.313225746154785e-10,True
apache-httpd,f1,7,5,False,0.005186043578253868,False,1.6374655265830327e-07,True,9.107648574484005e-06,True
apache-httpd,f1,7,5,True,1.7783345351585886e-05,False,0.00012226691744699177,True,9.107648574484005e-06,True
apache-httpd,f1,7,10,False,0.006632884952480561,False,1.2338474521082956e-07,True,2.803058263748007e-06,True
apache-httpd,f1,7,10,True,0.00014297186673551621,False,5.038842107003728e-05,True,7.643916413285107e-06,True
apache-httpd,f1,7,15,False,0.019938938833846554,False,1.7152850207141358e-07,True,4.149049653178655e-06,True
apache-httpd,f1,7,15,True,2.650396098564423e-05,False,7.310080037424523e-05,True,4.149049653178655e-06,True
apache-httpd,f1,7,20,False,0.18033687055858938,True,3.2884985987455355e-09,True,1.2815416253625037e-06,True
apache-httpd,f1,7,20,True,0.00012309846091343118,False,8.7421240322127e-06,True,1.2815416253625037e-06,True
apache-httpd,f1,7,25,False,0.2264857624068276,True,3.602537620405e-09,True,1.8948097207904354e-06,True
apache-httpd,f1,7,25,True,1.5152172984852782e-05,False,3.142553099757444e-05,True,1.8948097207904354e-06,True
apache-httpd,precision,3,5,False,0.0001334937068792838,False,4.0346222931748147e-10,True,1.3507974243552752e-05,True
apache-httpd,precision,3,5,True,0.0020136657162029776,False,5.812488443350957e-07,True,1.3507974243552752e-05,True
apache-httpd,precision,3,10,False,0.00023967189300757834,False,4.891830745085336e-15,True,9.313225746154785e-10,True
apache-httpd,precision,3,10,True,0.00011044310024233028,False,3.8100817163401874e-06,True,9.313225746154785e-10,True
apache-httpd,precision,3,15,False,4.322476924458885e-05,False,2.876606897650287e-16,True,9.313225746154785e-10,True
apache-httpd,precision,3,15,True,0.0017787353139676163,False,2.1783549079015526e-07,True,9.313225746154785e-10,True
apache-httpd,precision,3,20,False,2.7760959951445127e-06,False,8.268056541655083e-17,True,9.313225746154785e-10,True
apache-httpd,precision,3,20,True,2.067560452017666e-05,False,1.1767619032294639e-06,True,9.313225746154785e-10,True
apache-httpd,precision,3,25,False,0.00011267268923985324,False,7.285822489514816e-18,True,9.313225746154785e-10,True
apache-httpd,precision,3,25,True,0.00016751458566667722,False,1.0765317093192199e-07,True,9.313225746154785e-10,True
apache-httpd,precision,5,5,False,0.00030334221055478906,False,5.275722604717918e-14,True,1.8948097207904354e-06,True
apache-httpd,precision,5,5,True,0.001438289263496159,False,2.2111452929686354e-06,True,1.8948097207904354e-06,True
apache-httpd,precision,5,10,False,0.028674294078142832,False,1.6997566163102748e-16,True,9.313225746154785e-10,True
apache-httpd,precision,5,10,True,7.214177949674086e-05,False,4.259333042159234e-06,True,9.313225746154785e-10,True
